snapshot_utc,service_date,ferry_route_id,crossing,departure_id,depart,arrival,available_cars,available_pax,max_pax,ferry,css_class,is_dangerous_goods
2026-08-19T21:52:23Z,2026-08-20,411,Kragenæs > Femø,3748033,2026-08-20T07:05:00,2026-08-20T08:00:00,10,96,98,M/F Femøsund,crossing-normal,False
2026-08-19T21:52:23Z,2026-08-20,411,Kragenæs > Femø,3748112,2026-08-20T09:25:00,2026-08-20T10:20:00,0,91,98,M/F Femøsund,crossing-almost-fully-booked,False
2026-08-19T21:52:23Z,2026-08-20,411,Kragenæs > Femø,3748191,2026-08-20T11:50:00,2026-08-20T12:45:00,3,85,98,M/F Femøsund,crossing-normal,False
2026-08-19T21:52:23Z,2026-08-20,411,Kragenæs > Femø,3748270,2026-08-20T14:05:00,2026-08-20T15:00:00,8,92,98,M/F Femøsund,crossing-normal,False
2026-08-19T21:52:23Z,2026-08-20,411,Kragenæs > Femø,3748349,2026-08-20T16:20:00,2026-08-20T17:15:00,3,77,98,M/F Femøsund,crossing-normal,False
2026-08-19T21:52:23Z,2026-08-20,411,Kragenæs > Femø,3748428,2026-08-20T18:40:00,2026-08-20T19:35:00,10,86,98,M/F Femøsund,crossing-normal,False
2026-08-19T21:52:23Z,2026-08-20,411,Kragenæs > Femø,3748507,2026-08-20T22:00:00,2026-08-20T22:55:00,12,94,98,M/F Femøsund,crossing-normal,False
2026-08-19T21:52:23Z,2026-08-20,411,Femø > Kragenæs,3747480,2026-08-20T06:00:00,2026-08-20T06:55:00,8,91,98,M/F Femøsund,crossing-normal,False
2026-08-19T21:52:23Z,2026-08-20,411,Femø > Kragenæs,3747559,2026-08-20T08:15:00,2026-08-20T09:10:00,10,91,98,M/F Femøsund,crossing-normal,False
2026-08-19T21:52:23Z,2026-08-20,411,Femø > Kragenæs,3747638,2026-08-20T10:30:00,2026-08-20T11:25:00,1,75,98,M/F Femøsund,crossing-almost-fully-booked,False
2026-08-19T21:52:23Z,2026-08-20,411,Femø > Kragenæs,3747717,2026-08-20T12:55:00,2026-08-20T13:50:00,5,88,98,M/F Femøsund,crossing-normal,False
2026-08-19T21:52:23Z,2026-08-20,411,Femø > Kragenæs,3747796,2026-08-20T15:10:00,2026-08-20T16:05:00,7,95,98,M/F Femøsund,crossing-normal,False
2026-08-19T21:52:23Z,2026-08-20,411,Femø > Kragenæs,3747875,2026-08-20T17:30:00,2026-08-20T18:25:00,13,91,98,M/F Femøsund,crossing-normal,False
2026-08-19T21:52:23Z,2026-08-20,411,Femø > Kragenæs,3747954,2026-08-20T20:45:00,2026-08-20T21:40:00,13,94,98,M/F Femøsund,crossing-normal,False
2026-08-19T21:52:23Z,2026-08-20,413,Kragenæs > Askø,3752988,2026-08-20T06:40:00,2026-08-20T07:20:00,13,95,95,Booking lukket,crossing-time-exceeded,False
2026-08-19T21:52:23Z,2026-08-20,413,Kragenæs > Askø,3753051,2026-08-20T08:55:00,2026-08-20T09:35:00,10,89,95,M/F Askø,crossing-normal,False
2026-08-19T21:52:23Z,2026-08-20,413,Kragenæs > Askø,3753114,2026-08-20T11:10:00,2026-08-20T11:50:00,9,90,95,M/F Askø,crossing-normal,False
2026-08-19T21:52:23Z,2026-08-20,413,Kragenæs > Askø,3753177,2026-08-20T13:35:00,2026-08-20T14:15:00,8,87,95,M/F Askø,crossing-normal,False
2026-08-19T21:52:23Z,2026-08-20,413,Kragenæs > Askø,3753240,2026-08-20T15:55:00,2026-08-20T16:35:00,9,90,95,M/F Askø,crossing-normal,False
2026-08-19T21:52:23Z,2026-08-20,413,Kragenæs > Askø,3753303,2026-08-20T18:15:00,2026-08-20T18:55:00,12,94,95,M/F Askø,crossing-normal,False
2026-08-19T21:52:23Z,2026-08-20,413,Kragenæs > Askø,3753366,2026-08-20T21:20:00,2026-08-20T22:00:00,13,95,95,M/F Askø,crossing-normal,False
2026-08-19T21:52:23Z,2026-08-20,413,Askø > Kragenæs,3753429,2026-08-20T07:30:00,2026-08-20T08:10:00,4,84,95,M/F Askø,crossing-normal,False
2026-08-19T21:52:23Z,2026-08-20,413,Askø > Kragenæs,3753492,2026-08-20T10:05:00,2026-08-20T10:45:00,10,89,95,M/F Askø,crossing-normal,False
2026-08-19T21:52:23Z,2026-08-20,413,Askø > Kragenæs,3753555,2026-08-20T12:35:00,2026-08-20T13:15:00,11,93,95,M/F Askø,crossing-normal,False
